kernel_numbers: [16, 32, 64], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 74.07, validation_accuracy = 64.5, test_accuracy = 63.55
kernel_numbers: [16, 64, 128], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 76.39, validation_accuracy = 64.17, test_accuracy = 65.4
kernel_numbers: [16, 32, 128], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 78.85, validation_accuracy = 67.0, test_accuracy = 64.55
kernel_numbers: [32, 64, 128], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 74.11, validation_accuracy = 66.33, test_accuracy = 63.9
kernel_numbers: [16, 32, 64], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 256, dropout_enable: False, train_accuracy = 74.04, validation_accuracy = 65.67, test_accuracy = 62.0
kernel_numbers: [16, 64, 128], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 256, dropout_enable: False, train_accuracy = 73.04, validation_accuracy = 67.17, test_accuracy = 65.6
kernel_numbers: [16, 32, 128], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 256, dropout_enable: False, train_accuracy = 74.76, validation_accuracy = 65.5, test_accuracy = 64.3
kernel_numbers: [32, 64, 128], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 256, dropout_enable: False, train_accuracy = 76.7, validation_accuracy = 68.0, test_accuracy = 64.6
kernel_numbers: [16, 32, 64], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: max, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 86.26, validation_accuracy = 66.17, test_accuracy = 66.85
kernel_numbers: [16, 64, 128], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: max, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 80.72, validation_accuracy = 66.67, test_accuracy = 66.3
kernel_numbers: [16, 32, 128], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: max, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 81.15, validation_accuracy = 64.83, test_accuracy = 64.8
