value,date
10000.0,2014-03-19
10033.6,2014-03-25
9998.3,2014-03-26
9984.4,2014-03-29
10055.5,2014-03-30
10141.0,2014-03-31
10160.2,2014-04-05
10080.1,2014-04-06
10049.8,2014-04-07
10120.0,2014-04-08
10070.7,2014-04-09
9986.7,2014-04-12
9858.0,2014-04-13
9756.4,2014-04-14
9705.1,2014-04-15
9749.5,2014-04-16
9661.7,2014-04-19
9721.4,2014-04-20
9798.5,2014-04-21
9816.5,2014-04-22
9807.5,2014-04-23
9968.2,2014-04-26
10038.4,2014-04-27
9968.2,2014-04-28
9871.5,2014-04-29
9865.2,2014-04-30
9828.1,2014-05-03
9746.0,2014-05-04
9781.6,2014-05-05
9765.2,2014-05-06
9751.4,2014-05-07
9732.7,2014-05-10
9714.3,2014-05-11
9742.0,2014-05-12
9755.1,2014-05-14
9648.8,2014-05-17
9691.7,2014-05-18
9694.0,2014-05-19
9726.0,2014-05-20
9819.5,2014-05-21
9842.1,2014-05-24
9792.0,2014-05-25
9794.5,2014-05-26
9795.1,2014-05-28
9773.8,2014-05-31
9655.8,2014-06-01
9647.6,2014-06-02
9702.7,2014-06-03
9718.1,2014-06-07
9703.1,2014-06-08
9695.6,2014-06-09
9636.1,2014-06-10
9591.0,2014-06-11
9476.8,2014-06-14
9377.9,2014-06-15
9388.7,2014-06-16
9360.0,2014-06-17
9417.7,2014-06-18
9487.1,2014-06-21
9527.2,2014-06-22
9466.5,2014-06-23
9398.7,2014-06-24
9357.2,2014-06-25
9271.0,2014-06-28
9185.6,2014-06-29
9099.3,2014-06-30
9127.4,2014-07-01
9217.0,2014-07-02
9349.3,2014-07-05
9334.1,2014-07-06
9326.6,2014-07-07
9507.2,2014-07-08
9528.7,2014-07-09
9504.2,2014-07-12
9503.2,2014-07-13
9498.2,2014-07-14
9500.2,2014-07-15
9549.3,2014-07-16
9542.6,2014-07-20
9599.2,2014-07-21
9684.0,2014-07-22
9743.0,2014-07-23
9719.2,2014-07-26
9732.2,2014-07-27
9788.2,2014-07-28
9760.0,2014-08-02
9705.7,2014-08-03
9723.7,2014-08-04
9695.4,2014-08-05
9701.1,2014-08-06
9690.3,2014-08-09
9670.0,2014-08-10
9742.0,2014-08-11
9741.8,2014-08-12
9771.3,2014-08-13
9756.7,2014-08-16
9739.1,2014-08-17
9778.4,2014-08-18
9811.2,2014-08-19
9845.2,2014-08-20
9871.8,2014-08-23
9864.1,2014-08-24
9904.4,2014-08-25
9967.1,2014-08-26
9993.9,2014-08-27
9927.6,2014-08-30
9917.7,2014-08-31
9926.0,2014-09-01
9957.9,2014-09-02
9967.7,2014-09-03
9912.9,2014-09-06
9863.8,2014-09-07
9907.1,2014-09-08
9897.8,2014-09-09
9867.1,2014-09-10
9780.6,2014-09-13
9769.0,2014-09-14
9818.1,2014-09-15
9818.9,2014-09-16
9798.4,2014-09-17
9811.5,2014-09-20
9889.6,2014-09-21
9936.8,2014-09-22
9992.7,2014-09-23
10053.0,2014-09-24
10023.6,2014-09-27
10063.0,2014-09-28
10093.0,2014-09-29
10145.9,2014-09-30
10155.3,2014-10-01
10172.3,2014-10-04
10216.5,2014-10-06
10213.2,2014-10-07
10243.2,2014-10-08
10305.3,2014-10-11
10330.1,2014-10-12
10412.5,2014-10-14
10446.3,2014-10-15
10467.0,2014-10-18
10564.9,2014-10-19
10793.7,2014-10-20
10779.2,2014-10-21
10731.1,2014-10-22
10736.5,2014-10-25
10695.7,2014-10-26
10745.3,2014-10-27
10762.2,2014-10-28
10878.2,2014-10-29
11023.5,2014-11-01
11041.7,2014-11-02
11162.0,2014-11-05
11214.1,2014-11-08
11271.5,2014-11-09
11318.1,2014-11-10
11399.7,2014-11-11
11473.6,2014-11-12
11405.8,2014-11-15
11456.8,2014-11-16
11524.8,2014-11-17
11460.5,2014-11-18
